Title,Authors,Affiliations,Qualifier,Major Qualifier,Descriptor,Major Descriptor,Abstract,Journal,Language,Year,Month
Rapid estimation of compost enzymatic activity by spectral analysis method combined with machine learning.,"['Chakraborty, Somsubhra', 'Das, Bhabani S', 'Ali, Md Nasim', 'Li, Bin', 'Sarathjith, M C', 'Majumdar, K', 'Ray, D P']","['IRDM Faculty Centre, Ramakrishna Mission Vivekananda University, Kolkata 700103, India. Electronic address: som_pau@yahoo.com.', 'Department of Agricultural and Food Engineering, IIT, Kharagpur 721302, India.', 'IRDM Faculty Centre, Ramakrishna Mission Vivekananda University, Kolkata 700103, India.', 'Department of Experimental Statistics, Louisiana State University, 61 Agriculture Administration Building, Baton Rouge, LA 70803, USA.', 'Department of Agricultural and Food Engineering, IIT, Kharagpur 721302, India.', 'Soil Testing Laboratory, Kalimpong 734301, India.', 'National Institute of Research on Jute and Allied Fibre Technology, Kolkata 700040, India.']","['analysis', 'methods']",NA,"[StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'Y'}), StringElement('Enzyme Assays', attributes={'UI': 'D057075', 'MajorTopicYN': 'N'}), StringElement('Enzymes', attributes={'UI': 'D004798', 'MajorTopicYN': 'N'}), StringElement('India', attributes={'UI': 'D007194', 'MajorTopicYN': 'N', 'Type': 'Geographic'}), StringElement('Models, Theoretical', attributes={'UI': 'D008962', 'MajorTopicYN': 'N'}), StringElement('Multivariate Analysis', attributes={'UI': 'D015999', 'MajorTopicYN': 'N'}), StringElement('Refuse Disposal', attributes={'UI': 'D012037', 'MajorTopicYN': 'N'}), StringElement('Soil Microbiology', attributes={'UI': 'D012988', 'MajorTopicYN': 'Y'}), StringElement('Spectroscopy, Near-Infrared', attributes={'UI': 'D019265', 'MajorTopicYN': 'Y'})]","[StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'Y'}), StringElement('Soil Microbiology', attributes={'UI': 'D012988', 'MajorTopicYN': 'Y'}), StringElement('Spectroscopy, Near-Infrared', attributes={'UI': 'D019265', 'MajorTopicYN': 'Y'})]","The aim of this study was to investigate the feasibility of using visible near-infrared (VisNIR) diffuse reflectance spectroscopy (DRS) as an easy, inexpensive, and rapid method to predict compost enzymatic activity, which traditionally measured by fluorescein diacetate hydrolysis (FDA-HR) assay. Compost samples representative of five different compost facilities were scanned by DRS, and the raw reflectance spectra were preprocessed using seven spectral transformations for predicting compost FDA-HR with six multivariate algorithms. Although principal component analysis for all spectral pretreatments satisfactorily identified the clusters by compost types, it could not separate different FDA contents. Furthermore, the artificial neural network multilayer perceptron (residual prediction deviation=3.2, validation r(2)=0.91 and RMSE=13.38 μg g(-1) h(-1)) outperformed other multivariate models to capture the highly non-linear relationships between compost enzymatic activity and VisNIR reflectance spectra after Savitzky-Golay first derivative pretreatment. This work demonstrates the efficiency of VisNIR DRS for predicting compost enzymatic as well as microbial activity.","Waste management (New York, N.Y.)",eng,2014,Mar
Assessing the utility of a virtual environment for enhancing facial affect recognition in adolescents with autism.,"['Bekele, Esubalew', 'Crittendon, Julie', 'Zheng, Zhi', 'Swanson, Amy', 'Weitlauf, Amy', 'Warren, Zachary', 'Sarkar, Nilanjan']","['Department of Electrical Engineering and Computer Science, Vanderbilt University, 518 Olin Hall 2400 Highland Avenue, Nashville, TN, 37212, USA, esubalew.bekele@vanderbilt.edu.']","['physiology', 'psychology']",NA,"[StringElement('Adolescent', attributes={'UI': 'D000293', 'MajorTopicYN': 'N'}), StringElement('Child Development Disorders, Pervasive', attributes={'UI': 'D002659', 'MajorTopicYN': 'N'}), StringElement('Face', attributes={'UI': 'D005145', 'MajorTopicYN': 'Y'}), StringElement('Facial Expression', attributes={'UI': 'D005149', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Recognition, Psychology', attributes={'UI': 'D021641', 'MajorTopicYN': 'N'})]","[StringElement('Face', attributes={'UI': 'D005145', 'MajorTopicYN': 'Y'})]","Teenagers with autism spectrum disorder (ASD) and age-matched controls participated in a dynamic facial affect recognition task within a virtual reality (VR) environment. Participants identified the emotion of a facial expression displayed at varied levels of intensity by a computer generated avatar. The system assessed performance (i.e., accuracy, confidence ratings, response latency, and stimulus discrimination) as well as how participants used their gaze to process facial information using an eye tracker. Participants in both groups were similarly accurate at basic facial affect recognition at varied levels of intensity. Despite similar performance characteristics, ASD participants endorsed lower confidence in their responses and substantial variation in gaze patterns in absence of perceptual discrimination deficits. These results add support to the hypothesis that deficits in emotion and face recognition for individuals with ASD are related to fundamental differences in information processing. We discuss implications of this finding in a VR environment with regards to potential future applications and paradigms targeting not just enhanced performance, but enhanced social information processing within intelligent systems capable of adaptation to individual processing differences.",Journal of autism and developmental disorders,eng,2014,Jul
The role of rewarding and novel events in facilitating memory persistence in a separate spatial memory task.,"['Salvetti, Beatrice', 'Morris, Richard G M', 'Wang, Szu-Han']","['Centre for Cognitive and Neural Systems, University of Edinburgh, Edinburgh EH8 9JZ, United Kingdom.']",['physiology'],NA,"[StringElement('Animals', attributes={'UI': 'D000818', 'MajorTopicYN': 'N'}), StringElement('Conditioning, Psychological', attributes={'UI': 'D003213', 'MajorTopicYN': 'N'}), StringElement('Cues', attributes={'UI': 'D003463', 'MajorTopicYN': 'N'}), StringElement('Discrimination, Psychological', attributes={'UI': 'D004192', 'MajorTopicYN': 'N'}), StringElement('Extinction, Psychological', attributes={'UI': 'D005108', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Maze Learning', attributes={'UI': 'D018782', 'MajorTopicYN': 'N'}), StringElement('Memory', attributes={'UI': 'D008568', 'MajorTopicYN': 'Y'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Psychomotor Performance', attributes={'UI': 'D011597', 'MajorTopicYN': 'N'}), StringElement('Rats', attributes={'UI': 'D051381', 'MajorTopicYN': 'N'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'}), StringElement('Task Performance and Analysis', attributes={'UI': 'D013647', 'MajorTopicYN': 'N'})]","[StringElement('Memory', attributes={'UI': 'D008568', 'MajorTopicYN': 'Y'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'})]","Many insignificant events in our daily life are forgotten quickly but can be remembered for longer when other memory-modulating events occur before or after them. This phenomenon has been investigated in animal models in a protocol in which weak memories persist longer if exploration in a novel context is introduced around the time of memory encoding. This study aims to understand whether other types of rewarding or novel tasks, such as rewarded learning in a T-maze and novel object recognition, can also be effective memory-modulating events. Rats were trained in a delayed matching-to-place task to encode and retrieve food locations in an event arena. Weak encoding with only one food pellet at the sample location induced memory encoding but forgetting over 24 h. When this same weak encoding was followed by a rewarded task in a T-maze, the memory persisted for 24 h. Moreover, the same persistence of memory over 24 h could be achieved by exploration in a novel box or by a rewarded T-maze task after a ""non-rewarded"" weak encoding. When the one-pellet weak encoding was followed by novel object exploration, the memory did not persist at 24 h. Together, the results confirm that place encoding is possible without explicit reward, and that rewarded learning in a separate task lacking novelty can be an effective memory-modulating event. The behavioral and neurobiological implications are discussed.","Learning & memory (Cold Spring Harbor, N.Y.)",eng,2014,Jan
CAMS-RS: Clustering Algorithm for Large-Scale Mass Spectrometry Data Using Restricted Search Space and Intelligent Random Sampling.,"['Saeed, Fahad', 'Hoffert, Jason D', 'Knepper, Mark A']",[],"['analysis', 'methods']",NA,"[StringElement('Algorithms', attributes={'UI': 'D000465', 'MajorTopicYN': 'Y'}), StringElement('Cluster Analysis', attributes={'UI': 'D016000', 'MajorTopicYN': 'Y'}), StringElement('Proteins', attributes={'UI': 'D011506', 'MajorTopicYN': 'N'}), StringElement('Proteomics', attributes={'UI': 'D040901', 'MajorTopicYN': 'N'}), StringElement('Signal-To-Noise Ratio', attributes={'UI': 'D059629', 'MajorTopicYN': 'N'})]","[StringElement('Algorithms', attributes={'UI': 'D000465', 'MajorTopicYN': 'Y'}), StringElement('Cluster Analysis', attributes={'UI': 'D016000', 'MajorTopicYN': 'Y'})]","High-throughput mass spectrometers can produce massive amounts of redundant data at an astonishing rate with many of them having poor signal-to-noise (S/N) ratio. These low S/N ratio spectra may not get interpreted using conventional spectra-to-database matching techniques. In this paper, we present an efficient algorithm, CAMS-RS (Clustering Algorithm for Mass Spectra using Restricted Space and Sampling) for clustering of raw mass spectrometry data. CAMS-RS utilizes a novel metric (called F-set) that exploits the temporal and spatial patterns to accurately assess similarity between two given spectra. The F-set similarity metric is independent of the retention time and allows clustering of mass spectrometry data from independent LC-MS/MS runs. A novel restricted search space strategy is devised to limit the comparisons of the number of spectra. An intelligent sampling method is executed on individual bins that allow merging of the results to make the final clusters. Our experiments, using experimentally generated data sets, show that the proposed algorithm is able to cluster spectra with high accuracy and is helpful in interpreting low S/N ratio spectra. The CAMS-RS algorithm is highly scalable with increasing number of spectra and our implementation allows clustering of up to a million spectra within minutes.",IEEE/ACM transactions on computational biology and bioinformatics,eng,2014,NA
Improving screening for vascular cognitive impairment at three to six months after mild ischemic stroke and transient ischemic attack.,"['Dong, YanHong', 'Slavin, Melissa Jane', 'Chan, Bernard Poon-Lap', 'Venketasubramanian, Narayanaswamy', 'Sharma, Vijay Kumar', 'Collinson, Simon Lowes', 'Sachdev, Perminder Singh', 'Chen, Christopher Li-Hsian']","['Memory Aging and Cognition Centre, Department of Pharmacology, Yong Loo Lin School of Medicine, National University Health System, Singapore.', 'Centre for Healthy Brain Ageing, School of Psychiatry, UNSW Medicine, The University of New South Wales, Australia.', 'Department of Medicine, National University Health System, Singapore.', 'Memory Aging and Cognition Centre, Department of Pharmacology, Yong Loo Lin School of Medicine, National University Health System, Singapore.', 'Department of Medicine, National University Health System, Singapore.', 'Department of Psychology, National University of Singapore, Singapore.', 'Centre for Healthy Brain Ageing, School of Psychiatry, UNSW Medicine, The University of New South Wales, Australia.', 'Memory Aging and Cognition Centre, Department of Pharmacology, Yong Loo Lin School of Medicine, National University Health System, Singapore.']","['standards', 'methods', 'diagnosis', 'complications']",NA,"[StringElement('Area Under Curve', attributes={'UI': 'D019540', 'MajorTopicYN': 'N'}), StringElement('Cognitive Dysfunction', attributes={'UI': 'D060825', 'MajorTopicYN': 'N'}), StringElement('Dementia, Vascular', attributes={'UI': 'D015140', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence Tests', attributes={'UI': 'D007361', 'MajorTopicYN': 'N'}), StringElement('Ischemic Attack, Transient', attributes={'UI': 'D002546', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Mass Screening', attributes={'UI': 'D008403', 'MajorTopicYN': 'Y'}), StringElement('Mental Status Schedule', attributes={'UI': 'D008609', 'MajorTopicYN': 'N'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Neuropsychological Tests', attributes={'UI': 'D009483', 'MajorTopicYN': 'N'}), StringElement('Predictive Value of Tests', attributes={'UI': 'D011237', 'MajorTopicYN': 'N'}), StringElement('Quality Improvement', attributes={'UI': 'D058996', 'MajorTopicYN': 'N'}), StringElement('ROC Curve', attributes={'UI': 'D012372', 'MajorTopicYN': 'N'}), StringElement('Severity of Illness Index', attributes={'UI': 'D012720', 'MajorTopicYN': 'N'}), StringElement('Singapore', attributes={'UI': 'D012846', 'MajorTopicYN': 'N'}), StringElement('Stroke', attributes={'UI': 'D020521', 'MajorTopicYN': 'N'}), StringElement('Time Factors', attributes={'UI': 'D013997', 'MajorTopicYN': 'N'})]","[StringElement('Mass Screening', attributes={'UI': 'D008403', 'MajorTopicYN': 'Y'})]","The Montreal Cognitive Assessment (MoCA) and Mini-Mental State Examination (MMSE) were compared with and without the addition of a brief processing speed test, the symbol digit modalities test (SDMT), for vascular cognitive impairment (VCI) screening at three to six months after stroke.",International psychogeriatrics,eng,2014,May
Oral communicating children using a cochlear implant: good reading outcomes are linked to better language and phonological processing abilities.,"['von Muenster, Kylie', 'Baker, Elise']","['Sydney Cochlear Implant Centre, Sydney, Australia; Faculty of Health Sciences, University of Sydney, Australia. Electronic address: Kylie@vmsolicitors.com.au.', 'Faculty of Health Sciences, University of Sydney, Australia.']","['methods', 'surgery']",NA,"[StringElement('Adolescent', attributes={'UI': 'D000293', 'MajorTopicYN': 'N'}), StringElement('Age Factors', attributes={'UI': 'D000367', 'MajorTopicYN': 'N'}), StringElement('Australia', attributes={'UI': 'D001315', 'MajorTopicYN': 'N', 'Type': 'Geographic'}), StringElement('Child', attributes={'UI': 'D002648', 'MajorTopicYN': 'N'}), StringElement('Cochlear Implantation', attributes={'UI': 'D019929', 'MajorTopicYN': 'N'}), StringElement('Cochlear Implants', attributes={'UI': 'D003054', 'MajorTopicYN': 'N'}), StringElement('Cohort Studies', attributes={'UI': 'D015331', 'MajorTopicYN': 'N'}), StringElement('Communication', attributes={'UI': 'D003142', 'MajorTopicYN': 'N'}), StringElement('Deafness', attributes={'UI': 'D003638', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Language Development', attributes={'UI': 'D007804', 'MajorTopicYN': 'N'}), StringElement('Language Tests', attributes={'UI': 'D007807', 'MajorTopicYN': 'N'}), StringElement('Linear Models', attributes={'UI': 'D016014', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Multivariate Analysis', attributes={'UI': 'D015999', 'MajorTopicYN': 'N'}), StringElement('Phonetics', attributes={'UI': 'D010700', 'MajorTopicYN': 'N'}), StringElement('Reading', attributes={'UI': 'D011932', 'MajorTopicYN': 'Y'}), StringElement('Risk Assessment', attributes={'UI': 'D018570', 'MajorTopicYN': 'N'}), StringElement('Speech Intelligibility', attributes={'UI': 'D013065', 'MajorTopicYN': 'Y'}), StringElement('Speech Perception', attributes={'UI': 'D013067', 'MajorTopicYN': 'N'}), StringElement('Treatment Outcome', attributes={'UI': 'D016896', 'MajorTopicYN': 'N'}), StringElement('Vocabulary', attributes={'UI': 'D014825', 'MajorTopicYN': 'Y'})]","[StringElement('Reading', attributes={'UI': 'D011932', 'MajorTopicYN': 'Y'}), StringElement('Speech Intelligibility', attributes={'UI': 'D013065', 'MajorTopicYN': 'Y'}), StringElement('Vocabulary', attributes={'UI': 'D014825', 'MajorTopicYN': 'Y'})]","Cochlear implantation provides children with a significant hearing loss the potential to engage in phonological processing via audition; however these children can still have poor or inadequately detailed mental (phonological) representations of speech and as such phonological awareness and reading difficulties. Heterogeneous participant profiles, particularly varying modes of communication have clouded the research regarding reading outcomes of children using a cochlear implant. The objective of this study was to explore the relationships between word reading and reading comprehension outcomes, and a range of variables of a relatively homogenous group of children using cochlear implants.",International journal of pediatric otorhinolaryngology,eng,2014,Mar
Sex differences in behavioral outcome following neonatal hypoxia ischemia: insights from a clinical meta-analysis and a rodent model of induced hypoxic ischemic brain injury.,"['Smith, Amanda L', 'Alexander, Michelle', 'Rosenkrantz, Ted S', 'Sadek, Mona Lisa', 'Fitch, R Holly']","['Department of Psychology, Behavioral Neuroscience Division, University of Connecticut, Storrs, CT 06269, USA. Electronic address: amanda.l.smith@uconn.edu.', 'Department of Psychology, Behavioral Neuroscience Division, University of Connecticut, Storrs, CT 06269, USA.', 'Department of Pediatrics, University of Connecticut School of Medicine, Farmington, CT 06030, USA.', 'Department of Psychology, Behavioral Neuroscience Division, University of Connecticut, Storrs, CT 06269, USA.', 'Department of Psychology, Behavioral Neuroscience Division, University of Connecticut, Storrs, CT 06269, USA.']","['physiopathology', 'physiology']",NA,"[StringElement('Animals', attributes={'UI': 'D000818', 'MajorTopicYN': 'N'}), StringElement('Attention', attributes={'UI': 'D001288', 'MajorTopicYN': 'N'}), StringElement('Auditory Perception', attributes={'UI': 'D001307', 'MajorTopicYN': 'N'}), StringElement('Behavior, Animal', attributes={'UI': 'D001522', 'MajorTopicYN': 'N'}), StringElement('Conditioning, Psychological', attributes={'UI': 'D003213', 'MajorTopicYN': 'N'}), StringElement('Disease Models, Animal', attributes={'UI': 'D004195', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Hypoxia-Ischemia, Brain', attributes={'UI': 'D020925', 'MajorTopicYN': 'N'}), StringElement('Infant, Newborn', attributes={'UI': 'D007231', 'MajorTopicYN': 'N'}), StringElement('Infant, Premature', attributes={'UI': 'D007234', 'MajorTopicYN': 'N'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Maze Learning', attributes={'UI': 'D018782', 'MajorTopicYN': 'N'}), StringElement('Memory', attributes={'UI': 'D008568', 'MajorTopicYN': 'N'}), StringElement('Pregnancy', attributes={'UI': 'D011247', 'MajorTopicYN': 'N'}), StringElement('Rats', attributes={'UI': 'D051381', 'MajorTopicYN': 'N'}), StringElement('Rats, Wistar', attributes={'UI': 'D017208', 'MajorTopicYN': 'N'}), StringElement('Reflex, Startle', attributes={'UI': 'D013216', 'MajorTopicYN': 'N'}), StringElement('Sex Characteristics', attributes={'UI': 'D012727', 'MajorTopicYN': 'Y'})]","[StringElement('Sex Characteristics', attributes={'UI': 'D012727', 'MajorTopicYN': 'Y'})]","Hypoxia ischemia (HI; reduced oxygen and/or blood flow to the brain) is one of the most common injuries among preterm infants and term infants with birth complications. Both populations show cognitive/behavioral deficits, including impairments in sensory, learning/memory, and attention domains. Clinical data suggests a sex difference in HI outcomes, with males exhibiting more severe cognitive/behavioral deficits relative to matched females. Our laboratory has also reported more severe behavioral deficits among male rats with induced HI relative to females with comparable injury (Hill et al., 2011a,b). The current study initially examined published clinical studies from the past 20years where long-term IQ outcome scores for matched groups of male and female premature infants were reported separately (IQ being the most common outcome measure). A meta-analysis revealed a female ""advantage,"" as indicated by significantly better scores on performance and full scale IQ (but not verbal IQ) for premature females. We then utilized a rodent model of neonatal HI injury to assess sham and postnatal day 7 (P7) HI male and female rats on a battery of behavioral tasks. Results showed expected deficits in HI male rats, but also showed task-dependent sex differences, with HI males having significantly larger deficits than HI females on some tasks but equivalent deficits on other tasks. In contrast to behavioral results, post mortem neuropathology associated with HI was comparable across sex. These findings suggest: 1) neonatal female ""protection"" in some behavioral domains, as indexed by superior outcome following early injury relative to males; and 2) female protection may entail sex-specific plasticity or compensation, rather than a reduction in gross neuropathology. Further exploration of the mechanisms underlying this sex effect could aid in neuroprotection efforts for at-risk neonates in general, and males in particular. Moreover, our current report of comparable anatomical damage coupled with differences in cognitive outcomes (by sex) provides a framework for future studies to examine neural mechanisms underlying sex differences in cognition and behavior in general.",Experimental neurology,eng,2014,Apr
Brain warfare: primates to humans?,"['Friedman, Joseph H']","[""Editor-in- chief of the Rhode Island Medical Journal, Professor and the Chief of the Division of Movement Disorders, Department of Neurology at the Alpert Medical School of Brown University, chief of Butler Hospital's Movement Disorders Program and first recipient of the Stanley Aronson Chair in Neurodegenerative Disorders.""]","['growth & development', 'physiology']",NA,"[StringElement('Animals', attributes={'UI': 'D000818', 'MajorTopicYN': 'N'}), StringElement('Behavior, Animal', attributes={'UI': 'D001522', 'MajorTopicYN': 'N'}), StringElement('Emotions', attributes={'UI': 'D004644', 'MajorTopicYN': 'N'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Pan troglodytes', attributes={'UI': 'D002679', 'MajorTopicYN': 'N'}), StringElement('Yawning', attributes={'UI': 'D015000', 'MajorTopicYN': 'N'})]",[],NA,Rhode Island medical journal (2013),eng,2014,Apr
TextHunter--A User Friendly Tool for Extracting Generic Concepts from Free Text in Clinical Research.,"['Jackson MSc, Richard G', 'Ball, Michael', 'Patel, Rashmi', 'Hayes, Richard D', 'Dobson, Richard J B', 'Stewart, Robert']","[""King's College London (Institute of Psychiatry), London, UK."", ""King's College London (Institute of Psychiatry), London, UK."", ""King's College London (Institute of Psychiatry), London, UK."", ""King's College London (Institute of Psychiatry), London, UK."", ""King's College London (Institute of Psychiatry), London, UK."", ""King's College London (Institute of Psychiatry), London, UK.""]",['methods'],NA,"[StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'Y'}), StringElement('Biomedical Research', attributes={'UI': 'D035843', 'MajorTopicYN': 'N'}), StringElement('Electronic Health Records', attributes={'UI': 'D057286', 'MajorTopicYN': 'Y'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Information Storage and Retrieval', attributes={'UI': 'D016247', 'MajorTopicYN': 'N'}), StringElement('ROC Curve', attributes={'UI': 'D012372', 'MajorTopicYN': 'N'}), StringElement('Software', attributes={'UI': 'D012984', 'MajorTopicYN': 'Y'}), StringElement('Support Vector Machine', attributes={'UI': 'D060388', 'MajorTopicYN': 'N'})]","[StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'Y'}), StringElement('Electronic Health Records', attributes={'UI': 'D057286', 'MajorTopicYN': 'Y'}), StringElement('Software', attributes={'UI': 'D012984', 'MajorTopicYN': 'Y'})]","Observational research using data from electronic health records (EHR) is a rapidly growing area, which promises both increased sample size and data richness - therefore unprecedented study power. However, in many medical domains, large amounts of potentially valuable data are contained within the free text clinical narrative. Manually reviewing free text to obtain desired information is an inefficient use of researcher time and skill. Previous work has demonstrated the feasibility of applying Natural Language Processing (NLP) to extract information. However, in real world research environments, the demand for NLP skills outweighs supply, creating a bottleneck in the secondary exploitation of the EHR. To address this, we present TextHunter, a tool for the creation of training data, construction of concept extraction machine learning models and their application to documents. Using confidence thresholds to ensure high precision (>90%), we achieved recall measurements as high as 99% in real world use cases.",AMIA ... Annual Symposium proceedings. AMIA Symposium,eng,2014,NA
"Modern Multi-line Slot Machine Games: The Effect of Lines Wagered on Winners, Losers, Bonuses, and Losses Disguised as Wins.","['Harrigan, K', 'Dixon, M', 'Brown, D']","['Gambling Research Lab, University of Waterloo, 200 University Avenue West, Waterloo, ON, N2L 3G1, Canada, kevinh@uwaterloo.ca.']",['economics'],NA,"[StringElement('Computer Simulation', attributes={'UI': 'D003198', 'MajorTopicYN': 'N'}), StringElement('Conditioning, Psychological', attributes={'UI': 'D003213', 'MajorTopicYN': 'N'}), StringElement('Cues', attributes={'UI': 'D003463', 'MajorTopicYN': 'Y'}), StringElement('Exploratory Behavior', attributes={'UI': 'D005106', 'MajorTopicYN': 'N'}), StringElement('Gambling', attributes={'UI': 'D005715', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Recreation', attributes={'UI': 'D011998', 'MajorTopicYN': 'N'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'})]","[StringElement('Cues', attributes={'UI': 'D003463', 'MajorTopicYN': 'Y'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'})]","We simulated the commercially available multi-line slot machine game ""Money Storm,"" including its bonus wins. Our results show that after a specified amount of time (such as 1 or 50 h), when players played a single line, there were marked differences between one player and the next-a few won a lot, others lost far more than average. When playing 20 lines there were fewer big winners and fewer players quickly losing a large percentage of their money. We simulated a Gambler's Ruin scenario whereby players arrived with $100 and made $1 wagers until broke. Again we saw a reduction in the variability among player as the number of lines wagered increased, fewer players lost their entire bankroll quickly, and fewer players had big wins. The bonus wins in Money Storm contribute approximately 24% to the payback of the game, and our simulations of bonus wins shows that with 20 lines wagered the players spend approximately 11% of their time in bonus wins. With one line wagered, there are no losses disguised as wins while with 20 lines wagered the majority of hits are losses disguised as wins. Players using multi-line machines can thus tune the characteristics of the machine gambling experience to match their preferred pattern, though most seem in practice to bet on the most possible lines. Our results serve to inform researchers, counsellors, gamblers and others about how slot machines are designed, and the effect that wagering on multiple lines has on short-term and long-term play, bonus wins, and losses disguised as wins.",Journal of gambling studies,eng,2015,Jun
A heuristic approach based on Clarke-Wright algorithm for open vehicle routing problem.,"['Pichpibul, Tantikorn', 'Kawtummachai, Ruengsak']","['Faculty of Business Administration, Panyapiwat Institute of Management, 85/1 Moo 2, Chaengwattana Road, Bangtalad, Pakkred, Nonthaburi 11120, Thailand.', 'Faculty of Business Administration, Panyapiwat Institute of Management, 85/1 Moo 2, Chaengwattana Road, Bangtalad, Pakkred, Nonthaburi 11120, Thailand.']",[],[],"[StringElement('Algorithms', attributes={'UI': 'D000465', 'MajorTopicYN': 'Y'}), StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'N'})]","[StringElement('Algorithms', attributes={'UI': 'D000465', 'MajorTopicYN': 'Y'})]","We propose a heuristic approach based on the Clarke-Wright algorithm (CW) to solve the open version of the well-known capacitated vehicle routing problem in which vehicles are not required to return to the depot after completing service. The proposed CW has been presented in four procedures composed of Clarke-Wright formula modification, open-route construction, two-phase selection, and route postimprovement. Computational results show that the proposed CW is competitive and outperforms classical CW in all directions. Moreover, the best known solution is also obtained in 97% of tested instances (60 out of 62).",TheScientificWorldJournal,eng,2013,NA
